29 841
1 1 0
1 2 20
1 3 24
1 4 33
1 5 33
1 6 43
1 7 56
1 8 63
1 9 61
1 10 71
1 11 79
1 12 86
1 13 94
1 14 102
1 15 93
1 16 100
1 17 116
1 18 124
1 19 132
1 20 140
1 21 148
1 22 141
1 23 126
1 24 118
1 25 134
1 26 149
1 27 157
1 28 165
1 29 172
2 1 20
2 2 0
2 3 18
2 4 34
2 5 43
2 6 50
2 7 66
2 8 72
2 9 68
2 10 79
2 11 86
2 12 93
2 13 100
2 14 108
2 15 97
2 16 101
2 17 117
2 18 125
2 19 133
2 20 141
2 21 149
2 22 146
2 23 130
2 24 123
2 25 138
2 26 153
2 27 161
2 28 169
2 29 175
3 1 24
3 2 18
3 3 0
3 4 16
3 5 28
3 6 34
3 7 50
3 8 55
3 9 50
3 10 62
3 11 68
3 12 75
3 13 82
3 14 90
3 15 79
3 16 83
3 17 99
3 18 107
3 19 115
3 20 123
3 21 131
3 22 127
3 23 112
3 24 104
3 25 120
3 26 135
3 27 143
3 28 150
3 29 157
4 1 33
4 2 34
4 3 16
4 4 0
4 5 16
4 6 19
4 7 34
4 8 40
4 9 34
4 10 46
4 11 52
4 12 59
4 13 66
4 14 74
4 15 63
4 16 68
4 17 84
4 18 92
4 19 100
4 20 108
4 21 116
4 22 112
4 23 96
4 24 89
4 25 104
4 26 119
4 27 127
4 28 135
4 29 141
5 1 33
5 2 43
5 3 28
5 4 16
5 5 0
5 6 10
5 7 23
5 8 30
5 9 28
5 10 38
5 11 46
5 12 53
5 13 61
5 14 69
5 15 60
5 16 69
5 17 85
5 18 93
5 19 101
5 20 109
5 21 117
5 22 109
5 23 93
5 24 85
5 25 101
5 26 117
5 27 125
5 28 133
5 29 140
6 1 43
6 2 50
6 3 34
6 4 19
6 5 10
6 6 0
6 7 16
6 8 22
6 9 18
6 10 29
6 11 36
6 12 44
6 13 51
6 14 59
6 15 50
6 16 59
6 17 75
6 18 83
6 19 91
6 20 99
6 21 107
6 22 99
6 23 83
6 24 75
6 25 91
6 26 107
6 27 115
6 28 123
6 29 130
7 1 56
7 2 66
7 3 50
7 4 34
7 5 23
7 6 16
7 7 0
7 8 8
7 9 11
7 10 16
7 11 24
7 12 32
7 13 40
7 14 48
7 15 41
7 16 54
7 17 68
7 18 76
7 19 84
7 20 91
7 21 99
7 22 88
7 23 72
7 24 64
7 25 80
7 26 96
7 27 104
7 28 112
7 29 120
8 1 63
8 2 72
8 3 55
8 4 40
8 5 30
8 6 22
8 7 8
8 8 0
8 9 8
8 10 8
8 11 16
8 12 24
8 13 32
8 14 40
8 15 33
8 16 47
8 17 61
8 18 68
8 19 76
8 20 84
8 21 91
8 22 80
8 23 64
8 24 56
8 25 72
8 26 88
8 27 96
8 28 104
8 29 112
9 1 61
9 2 68
9 3 50
9 4 34
9 5 28
9 6 18
9 7 11
9 8 8
9 9 0
9 10 11
9 11 18
9 12 25
9 13 33
9 14 41
9 15 32
9 16 43
9 17 58
9 18 66
9 19 74
9 20 82
9 21 89
9 22 80
9 23 64
9 24 57
9 25 72
9 26 88
9 27 96
9 28 104
9 29 112
10 1 71
10 2 79
10 3 62
10 4 46
10 5 38
10 6 29
10 7 16
10 8 8
10 9 11
10 10 0
10 11 8
10 12 16
10 13 24
10 14 32
10 15 25
10 16 40
10 17 54
10 18 61
10 19 68
10 20 76
10 21 84
10 22 72
10 23 56
10 24 48
10 25 64
10 26 80
10 27 88
