dataset,instancia,n,m,archivo
a280,a280-EU21,280,78400,instancias/distance/a280-1.txt
a280,a280-EU22,280,78400,instancias/distance/a280-2.txt
a280,a280-EU23,280,78400,instancias/distance/a280-3.txt
a280,a280-EU24,280,78400,instancias/distance/a280-4.txt
a280,a280-EU25,280,78400,instancias/distance/a280-5.txt
a280,a280-EU26,280,78400,instancias/distance/a280-6.txt
a280,a280-EU27,280,78400,instancias/distance/a280-7.txt
a280,a280-EU28,280,78400,instancias/distance/a280-8.txt
a280,a280-EU29,280,78400,instancias/distance/a280-9.txt
a280,a280-EU210,280,78400,instancias/distance/a280-10.txt
