dataset,n,m,metodo,memSize,porcentajeVecindad,iteraciones,costo,gap,gap_relativo,tiempo
burma14,14,91,HI,0,0,0,3413,90,0.02708396027685826,0.0367
bayg29,29,841,HI,0,0,0,1770,160,0.09937888198757763,0.2395
att48,48,1128,HI,0,0,0,11920,1292,0.12156567557395559,0.5977
berlin52,52,1326,HI,0,0,0,9185,1643,0.21784672500662955,1.4796
gr96,96,4560,HI,0,0,0,70710,15501,0.28076943976525565,3.6468
a280,280,39060,HI,0,0,0,3101,522,0.20240403257076386,64.52
ali535,535,142845,HI,0,0,0,247310,45000,0.22243092284118432,996.101
burma14,14,91,VMC,0,0,0,4562,1239,0.37285585314474873,0.0123
bayg29,29,841,VMC,0,0,0,4625,3015,1.8726708074534162,0.026
att48,48,1128,VMC,0,0,0,49840,39212,3.689499435453519,2.1444
berlin52,52,1326,VMC,0,0,0,22205,14663,1.9441792627950145,0.068
gr96,96,4560,VMC,0,0,0,81007,25798,0.4672788856889275,0.1945
a280,280,39060,VMC,0,0,0,2808,229,0.08879410624272974,1.4255
ali535,535,142845,VMC,0,0,0,3370081,3167771,15.658005041767584,5.7727
burma14,14,91,AGMH,0,0,0,3814,491,0.14775804995486005,0.0465
bayg29,29,841,AGMH,0,0,0,2210,600,0.37267080745341613,0.1381
att48,48,1128,AGMH,0,0,0,13925,3297,0.3102182913059842,0.6528
berlin52,52,1326,AGMH,0,0,0,10114,2572,0.34102360116679925,0.4258
gr96,96,4560,AGMH,0,0,0,75301,20092,0.3639261714575522,1.9991
a280,280,39060,AGMH,0,0,0,3732,1153,0.44707250872431176,12.8529
ali535,535,142845,AGMH,0,0,0,272314,70004,0.34602342939053926,56.9594
burma14,14,91,TSC-AGM,14,20,1000,3323,0,0.0,39.5045
bayg29,29,841,TSC-AGM,29,20,1000,1610,0,0.0,201.797
att48,48,1128,TSC-AGM,48,20,1000,10648,20,0.001881821603312006,949.776
berlin52,52,1326,TSC-AGM,52,20,1000,7542,0,0.0,1301.75
gr96,96,4560,TSC-AGM,96,20,1000,58237,3028,0.05484613015993769,9332.23
a280,280,39060,TSC-AGM,280,20,1000,2651,72,0.02791779759596743,437961.0
ali535,535,142845,TSC-AGM,535,20,1000,218368,16058,0.0793732390885275,3858940.0
burma14,14,91,TSE-AGM,14,20,1000,3323,0,0.0,22.7228
bayg29,29,841,TSE-AGM,29,20,1000,1622,12,0.007453416149068323,149.164
att48,48,1128,TSE-AGM,48,20,1000,10812,184,0.017312758750470454,419.527
berlin52,52,1326,TSE-AGM,52,20,1000,7565,23,0.003049588968443384,492.171
gr96,96,4560,TSE-AGM,96,20,1000,57237,2028,0.036733141335651795,2313.56
a280,280,39060,TSE-AGM,280,20,1000,2614,35,0.013571151609150834,43378.8
eil76,76,2850,HI,0,0,0,617,79,0.14684014869888476,1.7229
bier127,127,8001,HI,0,0,0,142855,24573,0.20774927715121488,13.6242
eil76,76,2850,VMC,0,0,0,1969,1431,2.659851301115242,0.1909
bier127,127,8001,VMC,0,0,0,393989,275707,2.3309294736308144,0.503
eil76,76,2850,AGMH,0,0,0,676,138,0.25650557620817843,0.8344
bier127,127,8001,AGMH,0,0,0,158679,40397,0.3415312558123806,2.9895
eil76,76,2850,TSC-AGM,76,20,1000,544,6,0.011152416356877323,3001.41
bier127,127,8001,TSC-AGM,127,20,1000,124145,5863,0.049567981603287056,27114.3
eil76,76,2850,TSE-AGM,76,20,1000,547,9,0.016728624535315983,1272.71
bier127,127,8001,TSE-AGM,127,20,1000,123977,5695,0.048147647148340404,4924.17
ali535,535,142845,TSE-AGM,535,20,1000,217367,15057,0.07442538678266028,276515.0
