dataset,caso,n,m,metodo,memSize,porcentajeVecindad,iteraciones,tiempo,costo
a280,variando-vecinos,280,39060,TSC-AGM,20,10,1000,29643.6,3581
a280,variando-vecinos,280,39060,TSC-AGM,20,20,1000,47564.2,3522
a280,variando-vecinos,280,39060,TSC-AGM,20,30,1000,67073.7,3538
a280,variando-vecinos,280,39060,TSC-AGM,20,40,1000,93701.8,3533
a280,variando-vecinos,280,39060,TSC-AGM,20,50,1000,121247.0,3533
a280,variando-vecinos,280,39060,TSC-AGM,20,60,1000,184921.0,3399
a280,variando-vecinos,280,39060,TSC-AGM,20,70,1000,213114.0,3413
a280,variando-vecinos,280,39060,TSC-AGM,20,100,1000,296235.0,3389
a280,variando-memoria,280,39060,TSC-AGM,14,20,1000,40281.5,3553
a280,variando-memoria,280,39060,TSC-AGM,28,20,1000,57234.3,3523
a280,variando-memoria,280,39060,TSC-AGM,56,20,1000,80754.5,3523
a280,variando-memoria,280,39060,TSC-AGM,84,20,1000,123173.0,3523
a280,variando-memoria,280,39060,TSC-AGM,112,20,1000,171011.0,3523
a280,variando-memoria,280,39060,TSC-AGM,140,20,1000,219026.0,3523
a280,variando-memoria,280,39060,TSC-AGM,196,20,1000,306825.0,3523
a280,variando-memoria,280,39060,TSC-AGM,280,20,1000,421778.0,3523
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,1,37.8448,3699
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,5,173.361,3639
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,10,371.08,3639
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,20,893.622,3615
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,30,1437.05,3588
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,40,1904.29,3588
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,50,2626.77,3588
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,70,3420.48,3552
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,80,3807.25,3537
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,90,4250.5,3537
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,100,4888.9,3537
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,200,9224.61,3522
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,300,14863.0,3522
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,400,18541.1,3522
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,500,24423.7,3522
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,600,28748.0,3522
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,700,32666.7,3522
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,800,37820.2,3522
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,900,42799.4,3522
a280,variando-iteraciones,280,39060,TSC-AGM,20,20,1000,46796.7,3522
a280,variando-vecinos,280,39060,TSE-AGM,56,10,1000,10667.7,2826
a280,variando-vecinos,280,39060,TSE-AGM,56,20,1000,15264.0,2800
a280,variando-vecinos,280,39060,TSE-AGM,56,30,1000,19147.3,2802
a280,variando-vecinos,280,39060,TSE-AGM,56,40,1000,22569.7,2776
a280,variando-vecinos,280,39060,TSE-AGM,56,50,1000,26997.0,2781
a280,variando-vecinos,280,39060,TSE-AGM,56,60,1000,30047.8,2739
a280,variando-vecinos,280,39060,TSE-AGM,56,70,1000,35366.6,2753
a280,variando-vecinos,280,39060,TSE-AGM,56,100,1000,45655.2,2743
a280,variando-memoria,280,39060,TSE-AGM,14,20,1000,9379.97,2800
a280,variando-memoria,280,39060,TSE-AGM,28,20,1000,12004.6,2800
a280,variando-memoria,280,39060,TSE-AGM,56,20,1000,14620.1,2800
a280,variando-memoria,280,39060,TSE-AGM,84,20,1000,18073.5,2800
a280,variando-memoria,280,39060,TSE-AGM,112,20,1000,22043.6,2800
a280,variando-memoria,280,39060,TSE-AGM,140,20,1000,25938.2,2800
a280,variando-memoria,280,39060,TSE-AGM,196,20,1000,31838.9,2800
a280,variando-memoria,280,39060,TSE-AGM,280,20,1000,43026.5,2800
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,1,27.2135,3699
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,5,87.1067,3516
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,10,159.695,3343
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,20,305.55,3129
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,30,451.337,3017
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,40,600.619,2931
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,50,744.827,2862
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,70,1037.9,2800
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,80,1183.35,2800
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,90,1335.65,2800
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,100,1491.25,2800
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,200,2954.9,2800
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,300,5161.14,2800
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,400,6103.74,2800
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,500,7686.86,2800
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,600,9390.36,2800
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,700,10515.0,2800
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,800,11931.7,2800
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,900,13094.2,2800
a280,variando-iteraciones,280,39060,TSE-AGM,56,20,1000,14672.1,2800
