dataset,caso,n,m,metodo,memSize,porcentajeVecindad,iteraciones,tiempo,costo
0,random-AGMH-0,10,45,AGMH,0,0,0,0.00663,77
1,random-AGMH-1,10,45,AGMH,0,0,0,0.006558,44
2,random-AGMH-2,10,45,AGMH,0,0,0,0.008813,61
3,random-AGMH-3,10,45,AGMH,0,0,0,0.006611,97
4,random-AGMH-4,10,45,AGMH,0,0,0,0.006821,84
5,random-AGMH-5,10,45,AGMH,0,0,0,0.006494,52
6,random-AGMH-6,10,45,AGMH,0,0,0,0.006584,88
7,random-AGMH-7,10,45,AGMH,0,0,0,0.006951,134
8,random-AGMH-8,10,45,AGMH,0,0,0,0.006934,104
9,random-AGMH-9,10,45,AGMH,0,0,0,0.00664,88
10,random-AGMH-10,10,45,AGMH,0,0,0,0.006816,82
11,random-AGMH-11,10,45,AGMH,0,0,0,0.006605,74
12,random-AGMH-12,10,45,AGMH,0,0,0,0.007355,80
13,random-AGMH-13,10,45,AGMH,0,0,0,0.009316,88
14,random-AGMH-14,10,45,AGMH,0,0,0,0.006591,71
15,random-AGMH-15,10,45,AGMH,0,0,0,0.006458,78
16,random-AGMH-16,10,45,AGMH,0,0,0,0.006722,77
17,random-AGMH-17,10,45,AGMH,0,0,0,0.007535,65
18,random-AGMH-18,10,45,AGMH,0,0,0,0.007071,66
19,random-AGMH-19,10,45,AGMH,0,0,0,0.006611,83
20,random-AGMH-20,10,45,AGMH,0,0,0,0.006585,87
21,random-AGMH-21,10,45,AGMH,0,0,0,0.00687,81
22,random-AGMH-22,10,45,AGMH,0,0,0,0.008527,87
23,random-AGMH-23,10,45,AGMH,0,0,0,0.006307,49
24,random-AGMH-24,10,45,AGMH,0,0,0,0.00668,80
25,random-AGMH-25,10,45,AGMH,0,0,0,0.006908,87
26,random-AGMH-26,10,45,AGMH,0,0,0,0.006455,83
27,random-AGMH-27,10,45,AGMH,0,0,0,0.006754,67
28,random-AGMH-28,10,45,AGMH,0,0,0,0.006684,55
29,random-AGMH-29,10,45,AGMH,0,0,0,0.007324,68
30,random-AGMH-30,10,45,AGMH,0,0,0,0.006682,104
31,random-AGMH-31,10,45,AGMH,0,0,0,0.006464,67
32,random-AGMH-32,10,45,AGMH,0,0,0,0.00721,101
33,random-AGMH-33,10,45,AGMH,0,0,0,0.006464,82
34,random-AGMH-34,10,45,AGMH,0,0,0,0.006829,95
35,random-AGMH-35,10,45,AGMH,0,0,0,0.006371,91
36,random-AGMH-36,10,45,AGMH,0,0,0,0.006764,59
37,random-AGMH-37,10,45,AGMH,0,0,0,0.006943,84
38,random-AGMH-38,10,45,AGMH,0,0,0,0.006448,74
39,random-AGMH-39,10,45,AGMH,0,0,0,0.007044,137
40,random-AGMH-40,10,45,AGMH,0,0,0,0.006685,106
41,random-AGMH-41,10,45,AGMH,0,0,0,0.006923,93
42,random-AGMH-42,10,45,AGMH,0,0,0,0.007188,75
43,random-AGMH-43,10,45,AGMH,0,0,0,0.006508,80
44,random-AGMH-44,10,45,AGMH,0,0,0,0.006592,81
45,random-AGMH-45,10,45,AGMH,0,0,0,0.007444,67
46,random-AGMH-46,10,45,AGMH,0,0,0,0.006325,52
47,random-AGMH-47,10,45,AGMH,0,0,0,0.006791,94
48,random-AGMH-48,10,45,AGMH,0,0,0,0.006783,83
49,random-AGMH-49,10,45,AGMH,0,0,0,0.006625,96
50,random-AGMH-50,10,45,AGMH,0,0,0,0.006552,101
51,random-AGMH-51,10,45,AGMH,0,0,0,0.006609,74
52,random-AGMH-52,10,45,AGMH,0,0,0,0.007337,126
53,random-AGMH-53,10,45,AGMH,0,0,0,0.006491,110
54,random-AGMH-54,10,45,AGMH,0,0,0,0.006763,88
55,random-AGMH-55,10,45,AGMH,0,0,0,0.00789,52
56,random-AGMH-56,10,45,AGMH,0,0,0,0.006491,65
57,random-AGMH-57,10,45,AGMH,0,0,0,0.006922,90
58,random-AGMH-58,10,45,AGMH,0,0,0,0.007072,104
59,random-AGMH-59,10,45,AGMH,0,0,0,0.006606,52
60,random-AGMH-60,10,45,AGMH,0,0,0,0.006904,72
61,random-AGMH-61,10,45,AGMH,0,0,0,0.007569,68
62,random-AGMH-62,10,45,AGMH,0,0,0,0.00669,78
63,random-AGMH-63,10,45,AGMH,0,0,0,0.006531,90
64,random-AGMH-64,10,45,AGMH,0,0,0,0.00678,90
65,random-AGMH-65,10,45,AGMH,0,0,0,0.006704,102
66,random-AGMH-66,10,45,AGMH,0,0,0,0.006966,83
67,random-AGMH-67,10,45,AGMH,0,0,0,0.006867,90
68,random-AGMH-68,10,45,AGMH,0,0,0,0.006426,85
69,random-AGMH-69,10,45,AGMH,0,0,0,0.00683,127
70,random-AGMH-70,10,45,AGMH,0,0,0,0.006667,55
71,random-AGMH-71,10,45,AGMH,0,0,0,0.00682,79
72,random-AGMH-72,10,45,AGMH,0,0,0,0.006644,58
73,random-AGMH-73,10,45,AGMH,0,0,0,0.006351,106
74,random-AGMH-74,10,45,AGMH,0,0,0,0.006564,90
