dataset,caso,n,m,metodo,memSize,porcentajeVecindad,iteraciones,tiempo,costo,gap
a280,memoria-28-vecinos-10,280,39060,TSC-AGM,28,10,0,13.0391,3732,1153
a280,memoria-28-vecinos-10,280,39060,TSC-AGM,28,10,20,686.107,3213,634
a280,memoria-28-vecinos-10,280,39060,TSC-AGM,28,10,50,2087.29,2910,331
a280,memoria-28-vecinos-10,280,39060,TSC-AGM,28,10,80,3187.75,2856,277
a280,memoria-28-vecinos-10,280,39060,TSC-AGM,28,10,100,3841.85,2839,260
a280,memoria-28-vecinos-10,280,39060,TSC-AGM,28,10,200,7888.44,2812,233
a280,memoria-28-vecinos-10,280,39060,TSC-AGM,28,10,300,11909.7,2809,230
a280,memoria-28-vecinos-10,280,39060,TSC-AGM,28,10,400,15091.8,2804,225
a280,memoria-28-vecinos-10,280,39060,TSC-AGM,28,10,500,19398.2,2772,193
a280,memoria-28-vecinos-10,280,39060,TSC-AGM,28,10,600,22267.6,2758,179
a280,memoria-28-vecinos-10,280,39060,TSC-AGM,28,10,700,28249.9,2754,175
a280,memoria-28-vecinos-10,280,39060,TSC-AGM,28,10,800,32448.2,2754,175
a280,memoria-28-vecinos-10,280,39060,TSC-AGM,28,10,900,36391.9,2754,175
a280,memoria-28-vecinos-10,280,39060,TSC-AGM,28,10,100,4371.57,2839,260
a280,memoria-84-vecinos-10,280,39060,TSC-AGM,84,10,0,12.895,3732,1153
a280,memoria-84-vecinos-10,280,39060,TSC-AGM,84,10,20,769.499,3213,634
a280,memoria-84-vecinos-10,280,39060,TSC-AGM,84,10,50,2365.28,2910,331
a280,memoria-84-vecinos-10,280,39060,TSC-AGM,84,10,80,4054.68,2856,277
a280,memoria-84-vecinos-10,280,39060,TSC-AGM,84,10,100,4840.56,2839,260
a280,memoria-84-vecinos-10,280,39060,TSC-AGM,84,10,200,9996.08,2812,233
a280,memoria-84-vecinos-10,280,39060,TSC-AGM,84,10,300,16085.6,2809,230
a280,memoria-84-vecinos-10,280,39060,TSC-AGM,84,10,400,21322.2,2804,225
a280,memoria-84-vecinos-10,280,39060,TSC-AGM,84,10,500,26238.1,2772,193
a280,memoria-84-vecinos-10,280,39060,TSC-AGM,84,10,600,30878.9,2758,179
a280,memoria-84-vecinos-10,280,39060,TSC-AGM,84,10,700,38386.8,2754,175
a280,memoria-84-vecinos-10,280,39060,TSC-AGM,84,10,800,47671.6,2754,175
a280,memoria-84-vecinos-10,280,39060,TSC-AGM,84,10,900,59451.9,2754,175
a280,memoria-84-vecinos-10,280,39060,TSC-AGM,84,10,100,4905.39,2839,260
a280,memoria-280-vecinos-10,280,39060,TSC-AGM,280,10,0,12.9453,3732,1153
a280,memoria-280-vecinos-10,280,39060,TSC-AGM,280,10,20,891.992,3213,634
a280,memoria-280-vecinos-10,280,39060,TSC-AGM,280,10,50,2987.56,2910,331
a280,memoria-280-vecinos-10,280,39060,TSC-AGM,280,10,80,5207.66,2856,277
a280,memoria-280-vecinos-10,280,39060,TSC-AGM,280,10,100,5742.54,2839,260
a280,memoria-280-vecinos-10,280,39060,TSC-AGM,280,10,200,12341.1,2812,233
a280,memoria-280-vecinos-10,280,39060,TSC-AGM,280,10,300,20312.0,2809,230
a280,memoria-280-vecinos-10,280,39060,TSC-AGM,280,10,400,32152.7,2804,225
a280,memoria-280-vecinos-10,280,39060,TSC-AGM,280,10,500,42366.7,2772,193
a280,memoria-280-vecinos-10,280,39060,TSC-AGM,280,10,600,52329.3,2758,179
a280,memoria-280-vecinos-10,280,39060,TSC-AGM,280,10,700,62480.9,2754,175
a280,memoria-280-vecinos-10,280,39060,TSC-AGM,280,10,800,77110.2,2754,175
a280,memoria-280-vecinos-10,280,39060,TSC-AGM,280,10,900,90033.2,2754,175
a280,memoria-280-vecinos-10,280,39060,TSC-AGM,280,10,100,5615.47,2839,260
a280,memoria-28-vecinos-20,280,39060,TSC-AGM,28,20,0,12.8268,3732,1153
a280,memoria-28-vecinos-20,280,39060,TSC-AGM,28,20,20,1047.01,3117,538
a280,memoria-28-vecinos-20,280,39060,TSC-AGM,28,20,50,3210.63,2832,253
a280,memoria-28-vecinos-20,280,39060,TSC-AGM,28,20,80,5517.71,2734,155
a280,memoria-28-vecinos-20,280,39060,TSC-AGM,28,20,100,6971.53,2719,140
a280,memoria-28-vecinos-20,280,39060,TSC-AGM,28,20,200,12503.6,2696,117
a280,memoria-28-vecinos-20,280,39060,TSC-AGM,28,20,300,18552.8,2696,117
a280,memoria-28-vecinos-20,280,39060,TSC-AGM,28,20,400,24283.8,2696,117
a280,memoria-28-vecinos-20,280,39060,TSC-AGM,28,20,500,32580.7,2693,114
a280,memoria-28-vecinos-20,280,39060,TSC-AGM,28,20,600,41192.7,2693,114
a280,memoria-28-vecinos-20,280,39060,TSC-AGM,28,20,700,48156.4,2672,93
a280,memoria-28-vecinos-20,280,39060,TSC-AGM,28,20,800,57228.5,2672,93
a280,memoria-28-vecinos-20,280,39060,TSC-AGM,28,20,900,64921.6,2669,90
a280,memoria-28-vecinos-20,280,39060,TSC-AGM,28,20,100,6733.65,2719,140
a280,memoria-84-vecinos-20,280,39060,TSC-AGM,84,20,0,12.8689,3732,1153
a280,memoria-84-vecinos-20,280,39060,TSC-AGM,84,20,20,1146.28,3117,538
a280,memoria-84-vecinos-20,280,39060,TSC-AGM,84,20,50,3842.95,2832,253
a280,memoria-84-vecinos-20,280,39060,TSC-AGM,84,20,80,5828.94,2734,155
a280,memoria-84-vecinos-20,280,39060,TSC-AGM,84,20,100,8367.92,2719,140
a280,memoria-84-vecinos-20,280,39060,TSC-AGM,84,20,200,17177.6,2696,117
a280,memoria-84-vecinos-20,280,39060,TSC-AGM,84,20,300,26932.4,2693,114
a280,memoria-84-vecinos-20,280,39060,TSC-AGM,84,20,400,38084.4,2693,114
a280,memoria-84-vecinos-20,280,39060,TSC-AGM,84,20,500,54804.3,2693,114
a280,memoria-84-vecinos-20,280,39060,TSC-AGM,84,20,600,68378.8,2693,114
a280,memoria-84-vecinos-20,280,39060,TSC-AGM,84,20,700,84123.5,2685,106
a280,memoria-84-vecinos-20,280,39060,TSC-AGM,84,20,800,103822.0,2665,86
a280,memoria-84-vecinos-20,280,39060,TSC-AGM,84,20,900,153125.0,2665,86
a280,memoria-84-vecinos-20,280,39060,TSC-AGM,84,20,100,8098.0,2719,140
a280,memoria-280-vecinos-20,280,39060,TSC-AGM,280,20,0,12.9581,3732,1153
a280,memoria-280-vecinos-20,280,39060,TSC-AGM,280,20,20,1528.73,3117,538
a280,memoria-280-vecinos-20,280,39060,TSC-AGM,280,20,50,4804.9,2832,253
a280,memoria-280-vecinos-20,280,39060,TSC-AGM,280,20,80,7109.95,2734,155
a280,memoria-280-vecinos-20,280,39060,TSC-AGM,280,20,100,10486.5,2719,140
a280,memoria-280-vecinos-20,280,39060,TSC-AGM,280,20,200,21835.5,2696,117
a280,memoria-280-vecinos-20,280,39060,TSC-AGM,280,20,300,40277.4,2693,114
a280,memoria-280-vecinos-20,280,39060,TSC-AGM,280,20,400,67213.0,2693,114
a280,memoria-280-vecinos-20,280,39060,TSC-AGM,280,20,500,96602.0,2664,85
a280,memoria-280-vecinos-20,280,39060,TSC-AGM,280,20,600,120748.0,2653,74
a280,memoria-280-vecinos-20,280,39060,TSC-AGM,280,20,700,145137.0,2653,74
a280,memoria-280-vecinos-20,280,39060,TSC-AGM,280,20,800,185626.0,2651,72
a280,memoria-280-vecinos-20,280,39060,TSC-AGM,280,20,900,215034.0,2651,72
a280,memoria-280-vecinos-20,280,39060,TSC-AGM,280,20,100,10864.2,2719,140
