dataset,caso,n,m,metodo,memSize,porcentajeVecindad,iteraciones,tiempo,costo,gap
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,0,12.6731,3732,1153
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,20,195.898,3213,634
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,40,441.017,3003,424
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,60,602.436,2883,304
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,80,756.352,2844,265
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,100,947.993,2842,263
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,120,1120.92,2834,255
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,140,1305.37,2832,253
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,160,1486.32,2819,240
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,180,1737.18,2817,238
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,200,2051.08,2817,238
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,220,2026.95,2810,231
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,240,2442.57,2795,216
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,260,2404.06,2780,201
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,280,2585.06,2777,198
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,300,2955.83,2777,198
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,320,4108.32,2774,195
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,340,3213.76,2774,195
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,360,3316.92,2774,195
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,380,3501.38,2766,187
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,400,3989.92,2761,182
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,420,3895.17,2761,182
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,440,4144.56,2761,182
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,460,4245.05,2761,182
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,480,4692.49,2761,182
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,500,4581.32,2761,182
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,520,4792.01,2761,182
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,540,5165.19,2761,182
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,560,5127.47,2761,182
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,580,5330.3,2761,182
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,600,6033.64,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,620,6578.12,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,640,6226.76,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,660,6264.69,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,680,6203.98,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,700,6551.96,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,720,6542.73,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,740,6858.21,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,760,6931.85,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,780,7088.76,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,800,8074.8,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,820,7485.64,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,840,7696.46,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,860,7822.24,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,880,8123.59,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,900,8085.89,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,920,8443.74,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,940,8897.85,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,960,9512.61,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,980,8966.04,2758,179
a280,memoria-28-vecinos-10,280,39060,TSE-AGM,28,10,1000,8915.52,2758,179
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,0,12.7214,3732,1153
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,20,263.662,3213,634
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,40,519.456,3003,424
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,60,766.873,2883,304
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,80,1023.15,2844,265
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,100,1408.33,2842,263
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,120,1549.19,2834,255
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,140,4188.05,2829,250
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,160,5236.0,2827,248
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,180,6579.61,2818,239
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,200,5988.95,2817,238
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,220,5349.6,2817,238
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,240,5254.72,2816,237
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,260,5224.45,2814,235
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,280,4540.24,2785,206
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,300,4272.48,2778,199
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,320,4089.43,2778,199
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,340,4361.3,2778,199
a280,memoria-84-vecinos-10,280,39060,TSE-AGM,84,10,360,4728.54,2778,199
