dataset,caso,n,m,metodo,memSize,porcentajeVecindad,iteraciones,tiempo,costo
a280,variando-vecinos,280,39060,TSE-AGM,20,10,1000,1566.71,2691
a280,variando-vecinos,280,39060,TSE-AGM,20,20,1000,1677.1,2682
a280,variando-vecinos,280,39060,TSE-AGM,20,30,1000,1831.75,2707
a280,variando-vecinos,280,39060,TSE-AGM,20,40,1000,1993.04,2754
a280,variando-vecinos,280,39060,TSE-AGM,20,50,1000,2157.84,2777
a280,variando-memoria,280,39060,TSE-AGM,10,10,1000,1512.88,2692
a280,variando-memoria,280,39060,TSE-AGM,20,10,1000,1601.83,2691
a280,variando-memoria,280,39060,TSE-AGM,30,10,1000,1603.35,2692
a280,variando-memoria,280,39060,TSE-AGM,40,10,1000,1636.39,2679
a280,variando-memoria,280,39060,TSE-AGM,50,10,1000,1746.76,2682
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,10,17.7531,3442
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,20,34.1403,3258
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,30,50.5617,3122
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,40,65.9584,3029
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,50,81.8945,2931
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,60,96.8568,2880
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,70,115.703,2841
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,80,131.455,2799
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,90,144.243,2780
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,100,156.216,2771
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,110,179.398,2771
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,120,191.109,2760
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,130,203.652,2759
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,140,221.585,2748
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,150,234.957,2742
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,160,255.64,2732
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,170,265.777,2726
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,180,281.393,2725
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,190,302.378,2725
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,200,317.591,2725
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,210,329.399,2725
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,220,345.813,2723
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,230,359.79,2715
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,240,369.308,2715
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,250,389.917,2712
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,260,400.31,2711
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,270,426.899,2706
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,280,431.315,2702
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,290,454.049,2702
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,300,464.713,2700
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,310,486.754,2700
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,320,500.096,2700
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,330,513.582,2700
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,340,518.697,2698
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,350,542.202,2698
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,360,558.214,2698
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,370,571.595,2698
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,380,596.582,2698
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,390,599.87,2698
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,400,628.152,2698
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,410,631.669,2696
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,420,651.46,2696
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,430,692.93,2695
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,440,689.828,2695
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,450,691.391,2695
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,460,718.067,2695
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,470,724.222,2695
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,480,749.623,2695
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,490,744.279,2695
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,500,778.248,2695
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,510,788.372,2695
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,520,798.051,2695
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,530,814.563,2695
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,540,823.783,2695
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,550,835.847,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,560,862.821,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,570,872.673,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,580,907.373,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,590,921.96,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,600,922.18,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,610,940.441,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,620,955.27,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,630,963.496,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,640,995.691,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,650,1003.09,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,660,1029.86,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,670,1038.55,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,680,1040.73,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,690,1069.96,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,700,1098.44,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,710,1086.04,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,720,1123.14,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,730,1182.25,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,740,1188.16,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,750,1181.29,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,760,1204.08,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,770,1222.76,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,780,1243.5,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,790,1292.62,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,800,1239.56,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,810,1262.06,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,820,1249.02,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,830,1265.03,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,840,1315.84,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,850,1327.83,2692
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,860,1340.45,2691
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,870,1382.83,2691
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,880,1369.34,2691
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,890,1364.45,2691
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,900,1376.44,2691
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,910,1424.59,2691
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,920,1422.41,2691
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,930,1429.92,2691
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,940,1432.73,2691
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,950,1436.91,2691
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,960,1471.59,2691
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,970,1537.79,2691
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,980,1493.53,2691
a280,variando-iteraciones,280,39060,TSE-AGM,20,10,990,1534.69,2691
