dataset,caso,n,m,metodo,memSize,porcentajeVecindad,iteraciones,tiempo,costo,gap
a280,variando-vecinos,280,39060,TSC-AGM,56,10,1000,54472.6,2754,175
a280,variando-vecinos,280,39060,TSC-AGM,56,20,1000,91796.3,2677,98
a280,variando-vecinos,280,39060,TSC-AGM,56,30,1000,123071.0,2751,172
a280,variando-vecinos,280,39060,TSC-AGM,56,40,1000,185117.0,2779,200
a280,variando-vecinos,280,39060,TSC-AGM,56,50,1000,234851.0,2780,201
a280,variando-vecinos,280,39060,TSC-AGM,56,60,1000,342616.0,2712,133
a280,variando-vecinos,280,39060,TSC-AGM,56,70,1000,364726.0,2712,133
a280,variando-vecinos,280,39060,TSC-AGM,56,100,1000,456106.0,2720,141
a280,variando-memoria,280,39060,TSC-AGM,14,20,1000,56935.5,2660,81
a280,variando-memoria,280,39060,TSC-AGM,28,20,1000,72974.3,2660,81
a280,variando-memoria,280,39060,TSC-AGM,56,20,1000,90235.5,2677,98
a280,variando-memoria,280,39060,TSC-AGM,84,20,1000,148049.0,2665,86
a280,variando-memoria,280,39060,TSC-AGM,112,20,1000,173090.0,2673,94
a280,variando-memoria,280,39060,TSC-AGM,140,20,1000,200030.0,2673,94
a280,variando-memoria,280,39060,TSC-AGM,196,20,1000,188378.0,2651,72
a280,variando-memoria,280,39060,TSC-AGM,280,20,1000,230130.0,2651,72
a280,variando-iteraciones,280,39060,TSC-AGM,56,20,1,40.9776,3699,1120
a280,variando-iteraciones,280,39060,TSC-AGM,56,20,5,192.698,3495,916
a280,variando-iteraciones,280,39060,TSC-AGM,56,20,10,495.363,3346,767
a280,variando-iteraciones,280,39060,TSC-AGM,56,20,20,1121.98,3117,538
a280,variando-iteraciones,280,39060,TSC-AGM,56,20,30,2108.54,3001,422
a280,variando-iteraciones,280,39060,TSC-AGM,56,20,40,2797.92,2905,326
a280,variando-iteraciones,280,39060,TSC-AGM,56,20,50,3564.2,2832,253
a280,variando-iteraciones,280,39060,TSC-AGM,56,20,70,5122.09,2756,177
a280,variando-iteraciones,280,39060,TSC-AGM,56,20,80,5592.97,2734,155
