dataset,caso,n,m,metodo,memSize,porcentajeVecindad,iteraciones,tiempo,costo
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,1,1,8.81206,3730
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,1,10,57.7949,3597
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,1,20,83.5551,3545
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,1,30,159.253,3467
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,1,40,167.327,3393
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,1,50,198.744,3373
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,1,100,375.582,3263
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,1,200,747.27,3154
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,1,400,1483.26,3032
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,1,600,2199.72,2991
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,1,800,2955.77,2986
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,1,1000,3673.38,2986
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,5,1,8.01639,3705
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,5,10,57.0747,3529
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,5,20,101.141,3293
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,5,30,146.424,3188
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,5,40,187.845,3106
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,5,50,232.129,3037
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,5,100,450.737,2891
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,5,200,905.829,2806
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,5,400,1775.2,2769
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,5,600,2722.41,2762
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,5,800,3613.53,2762
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,5,1000,4490.2,2760
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,10,1,9.1962,3705
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,10,10,64.0739,3442
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,10,20,122.766,3258
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,10,30,173.763,3122
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,10,40,226.816,3029
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,10,50,281.76,2931
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,10,100,553.057,2771
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,10,200,1095.66,2725
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,10,400,2184.44,2717
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,10,600,3274.15,2710
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,10,800,4773.41,2691
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,10,1000,5758.94,2685
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,20,1,13.0816,3626
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,20,10,87.6581,3369
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,20,20,173.823,3133
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,20,30,238.533,3019
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,20,40,306.811,2928
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,20,50,379.66,2870
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,20,100,740.824,2760
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,20,200,1467.83,2714
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,20,400,2930.72,2674
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,20,600,4415.69,2672
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,20,800,5892.92,2665
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,20,1000,7384.18,2665
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,60,1,18.7176,3626
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,60,10,159.062,3307
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,60,20,306.401,3145
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,60,30,449.835,3027
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,60,40,597.664,2921
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,60,50,770.559,2859
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,60,100,1486.47,2791
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,60,200,3011.98,2781
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,60,400,5963.25,2778
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,60,600,8991.42,2774
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,60,800,12471.0,2772
a280,iteraciones-vecinos-TSE,280,39060,TSE-AGM,200,60,1000,15453.5,2771
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,1,7.92905,3730
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,10,55.8857,3597
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,20,94.2213,3545
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,30,141.121,3467
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,40,178.582,3393
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,50,225.743,3373
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,100,451.813,3247
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,200,987.066,3125
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,400,1977.14,3031
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,600,3035.9,2999
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,800,3943.7,2986
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,1,1000,4858.87,2973
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,1,8.69163,3705
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,10,68.6614,3529
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,20,139.704,3293
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,30,219.11,3188
a280,iteraciones-vecinos-TSC,280,39060,TSC-AGM,200,5,40,293.873,3106
