30 435
1 2 83
1 3 40
1 4 73
1 5 54
1 6 31
1 7 76
1 8 39
1 9 25
1 10 51
1 11 6
1 12 45
1 13 12
1 14 49
1 15 66
1 16 75
1 17 85
1 18 69
1 19 64
1 20 12
1 21 21
1 22 48
1 23 41
1 24 79
1 25 62
1 26 57
1 27 19
1 28 33
1 29 59
1 30 39
2 3 15
2 4 36
2 5 65
2 6 1
2 7 43
2 8 15
2 9 86
2 10 83
2 11 58
2 12 25
2 13 66
2 14 74
2 15 35
2 16 56
2 17 13
2 18 60
2 19 22
2 20 38
2 21 31
2 22 78
2 23 0
2 24 21
2 25 6
2 26 32
2 27 32
2 28 14
2 29 31
2 30 78
3 4 83
3 5 80
3 6 70
3 7 66
3 8 82
3 9 85
3 10 55
3 11 27
3 12 62
3 13 43
3 14 74
3 15 71
3 16 42
3 17 83
3 18 21
3 19 6
3 20 68
3 21 22
3 22 43
3 23 8
3 24 85
3 25 62
3 26 32
3 27 60
3 28 11
3 29 1
3 30 41
4 5 26
4 6 37
4 7 41
4 8 56
4 9 39
4 10 81
4 11 32
4 12 53
4 13 35
4 14 23
4 15 29
4 16 42
4 17 38
4 18 4
4 19 32
4 20 50
4 21 85
4 22 27
4 23 33
4 24 34
4 25 0
4 26 11
4 27 62
4 28 88
4 29 54
4 30 89
5 6 78
5 7 41
5 8 70
5 9 85
5 10 5
5 11 7
5 12 4
5 13 16
5 14 9
5 15 56
5 16 48
5 17 43
5 18 62
5 19 70
5 20 31
5 21 2
5 22 0
5 23 15
5 24 32
5 25 48
5 26 15
5 27 61
5 28 2
5 29 34
5 30 22
6 7 42
6 8 66
6 9 89
6 10 1
6 11 78
6 12 53
6 13 80
6 14 63
6 15 84
6 16 87
6 17 70
6 18 2
6 19 59
6 20 45
6 21 23
6 22 23
6 23 88
6 24 85
6 25 31
6 26 60
6 27 3
6 28 49
6 29 62
6 30 9
7 8 21
7 9 65
7 10 80
7 11 81
7 12 11
7 13 68
7 14 80
7 15 29
7 16 10
7 17 80
7 18 71
7 19 20
7 20 33
7 21 72
7 22 17
7 23 6
7 24 36
7 25 10
7 26 49
7 27 35
7 28 25
7 29 42
7 30 81
8 9 30
8 10 52
8 11 0
8 12 9
8 13 41
8 14 29
8 15 24
8 16 4
8 17 2
8 18 84
8 19 1
8 20 41
8 21 54
8 22 77
8 23 18
8 24 56
8 25 3
8 26 35
8 27 21
8 28 76
8 29 57
8 30 86
9 10 81
9 11 0
9 12 68
9 13 84
9 14 21
9 15 52
9 16 72
9 17 21
9 18 60
9 19 67
9 20 60
9 21 9
9 22 13
9 23 81
9 24 35
9 25 6
9 26 62
9 27 71
9 28 41
9 29 47
9 30 41
10 11 88
10 12 52
10 13 55
10 14 58
10 15 87
10 16 81
10 17 53
10 18 48
10 19 26
10 20 48
10 21 20
10 22 51
10 23 80
10 24 15
10 25 72
10 26 9
10 27 67
10 28 69
10 29 16
10 30 24
11 12 71
11 13 47
11 14 42
11 15 87
11 16 49
11 17 39
11 18 5
11 19 8
11 20 52
11 21 3
11 22 4
11 23 72
11 24 80
11 25 19
11 26 8
11 27 86
11 28 6
11 29 71
11 30 67
12 13 68
12 14 3
12 15 63
12 16 77
12 17 41
12 18 83
12 19 0
12 20 28
12 21 13
12 22 34
12 23 10
12 24 77
12 25 16
12 26 64
12 27 84
12 28 19
12 29 81
12 30 65
13 14 16
13 15 47
13 16 81
13 17 47
13 18 11
13 19 68
13 20 40
13 21 53
13 22 5
13 23 54
13 24 84
13 25 75
13 26 61
13 27 42
13 28 86
13 29 81
13 30 44
14 15 84
14 16 41
14 17 29
14 18 58
14 19 30
14 20 77
14 21 81
14 22 36
14 23 60
14 24 84
14 25 46
14 26 75
14 27 10
14 28 39
14 29 0
14 30 16
15 16 30
15 17 79
15 18 81
15 19 36
15 20 74
15 21 67
15 22 32
15 23 45
15 24 8
15 25 43
15 26 33
15 27 80
15 28 49
15 29 35
15 30 43
16 17 31
16 18 57
16 19 89
16 20 28
16 21 32
16 22 27
16 23 51
16 24 60
16 25 12
16 26 55
16 27 82
16 28 68
16 29 31
16 30 56
17 18 13
17 19 2
17 20 13
17 21 42
17 22 5
17 23 65
17 24 75
17 25 2
17 26 54
17 27 65
17 28 41
17 29 66
17 30 26
18 19 43
18 20 65
18 21 50
18 22 87
18 23 29
18 24 76
18 25 69
18 26 9
18 27 77
18 28 9
18 29 50
18 30 36
19 20 40
19 21 89
19 22 86
19 23 59
19 24 84
19 25 82
19 26 33
19 27 3
19 28 86
19 29 32
19 30 21
20 21 7
20 22 38
20 23 13
20 24 61
20 25 54
20 26 61
20 27 7
20 28 13
20 29 80
20 30 78
21 22 16
21 23 2
21 24 67
21 25 87
21 26 82
21 27 18
21 28 22
21 29 57
21 30 41
22 23 16
22 24 76
22 25 63
22 26 16
22 27 89
22 28 77
22 29 33
22 30 38
23 24 1
23 25 16
23 26 28
23 27 4
23 28 65
23 29 13
23 30 35
24 25 50
24 26 65
24 27 54
24 28 65
24 29 61
24 30 88
25 26 77
25 27 89
25 28 28
25 29 16
25 30 77
26 27 47
26 28 52
26 29 75
26 30 51
27 28 83
27 29 42
27 30 32
28 29 48
28 30 12
29 30 11
